中证500T-1日上影线和下影线长度之和,中证500指数2点前最长游程幅度,中证500指数2点前游程数量,中证500偏离度与45-450股票开盘偏离度之差,T-1日振幅,T-1日涨跌幅,T日2点前振幅,T日2点前涨跌幅,T-1日成交量与T-2日成交量之比,上证指数开盘幅度,中证500与上证指数开盘幅度之差,中证500指数13点至14点间振幅,沪深300指数13点至14点间振幅,状态
24.27,0.005463388,26,0.042504584,0.011856022,0.003867231,0.010778147,-0.000335775,0.856669662,-0.004905703,0.000185279,0.003195892,0.00379579,2
15.34,0.006578155,30,0.053284488,0.018308928,-0.013058832,0.011247867,-0.008466608,1.0307412,-0.001851365,3.58E-06,0.003407371,0.004265156,1
21.95,0.007275426,21,0.029285508,0.011410115,-0.004018151,0.0125415,-0.011154794,0.933954549,-0.00073377,0.00024608,0.007504739,0.009257793,2
33.86,0.002934481,30,0.023854956,0.014236048,0.002819449,0.008721942,-0.004690654,0.883739972,0.001717341,0.00058383,0.00339759,0.004247209,0
9.26,0.010498216,27,0.016436234,0.009376883,-0.006251902,0.019349604,0.001852778,0.97660619,-0.000349699,-0.000725074,0.016275905,0.014701043,2
37.07,0.004929101,27,0.020182936,0.024093499,0.011443081,0.009033998,-0.008112405,1.265565695,-0.004519724,-0.000118858,0.006268688,0.006281428,1
5.71,0.004019872,22,0.025668093,0.010677799,-0.008675074,0.009926199,0.007263224,0.828512744,0.002175221,-0.002828972,0.00275245,0.003195767,0
17.44,0.004366947,24,0.038800178,0.009942944,0.004106015,0.008208506,-0.006178018,0.998979346,-0.002002518,0.001563501,0.005205293,0.004904113,1
6.06,0.010794225,25,0.090545979,0.013451842,-0.011267671,0.025884451,-0.021911064,0.863692773,-0.002706951,-0.000597332,0.00418935,0.003115093,2
1.7,0.007448249,27,0.102251254,0.034285075,-0.032574368,0.01884133,-0.014880493,1.40357546,-0.003389882,-0.000163002,0.004640719,0.003076903,1
9.25,0.0079714,26,0.068770799,0.022494975,-0.01875911,0.007978745,0.001692884,0.882447522,-0.000300485,9.19E-05,0.004110982,0.003484468,2
28.2,0.008170974,24,0.030785129,0.01949898,-0.009207274,0.018847962,0.008221478,0.95867139,-0.000848433,0.000513176,0.006084433,0.005208447,1
8.86,0.006910217,27,0.053727667,0.018891528,0.015646016,0.01385825,-0.007584457,1.081823165,-0.001464458,0.001335796,0.004148885,0.004310177,2
16.17,0.01090743,26,0.048213135,0.030344185,-0.023850442,0.015529615,-0.002715812,1.112466747,-0.001594824,-0.001895595,0.01090743,0.007029352,2
37.85,0.015264921,30,-0.002874172,0.03023255,0.016028472,0.049709009,0.042934255,1.076977398,-0.00099906,-0.001846397,0.00636106,0.004436565,1
26.82,0.008459794,31,-0.000476856,0.04972805,0.039914823,0.012232835,-0.000155973,1.670504536,-0.001158069,0.000678408,0.007140242,0.005813896,0
34.72,0.007525948,28,0.001573463,0.012271137,-0.000159456,0.02174958,0.011952235,0.747264427,-0.000227957,-0.000180957,0.007858152,0.007479584,2
11.82,0.005975162,25,0.000274559,0.027418076,0.023248796,0.019533606,0.013107443,1.380687892,0.002653844,-0.002407577,0.00930214,0.006052109,1
